Goodness of God,Have Thine Own Way,Heavenly Father We Appreciate You,I Am Not Ashamed,I Can't Complain,I Worship You,Hallelujah Amen,He Ain't Never Done Me Nothing But Good,Greater Is He That Is In Me,,This is a Move,Lord You're Holy,,,,,,Don't Let It Be Said Too Late Too Late
Have Thine Own Way,He Came To Me,Here Am I,I Believe I Can Fly,I Feel A Stirring In The Atmosphere,I Worship You Almighty God,He Ain't Never Done Me Nothing But Good,He Brought Me Out,Halleleujah Anyhow,,Throne Room Song,What A Friend We Have In Jesus,,,,,,Don't Let Me Forget What The Lord Has Done For
He Came To Me,He Is All I Need And More,Here I Am Lord,I Just Came To Tell You,I Go To The Rock,I'm Gonna Praise The Lord,He Brought Me Out,He Set Me Free,Have Your Way,,Victor's Crown,,,,,,,Don't Let Me Stand Without A Star In My Crown
He Is All I Need And More,He Is Here,His Strength Is Perfect,I Love You With All My Life,I Have A Father,I'm So Glad Jesus Lifted Me,He Set Me Free,He Wrote My Name,He Came Through,,VIctory Medley,,,,,,,Don't Let Me Walk Too Far From Calvary
He Is Here,He Saw Me,Holiness ( Take My Life),I Must Be Saved,i Lean On You Lord,I've Got A River Of Life,He Wrote My Name,Heaven's Jubilee,He Didn't Have To But He Did,,Way Maker,,,,,,,Don't Turn Him Away
He Saw Me,He Understands My Tears,Holy Ground,I Need Your Mercy I Need Your Grace,I Need Your Anointing,In The Name Of Jesus,Heaven's Jubilee,Higher Ground,He's Alive,,What A Beautiful Name,,,,,,,Down At The Cross
He Understands My Tears,He's All I Need,Holy Spirit Fill This Room,I Never Lost My Prasie,I See The Lord,Isn't He Wonderful,Higher Ground,Hold To God's Unchanging Hand,He's My Rock My Sword My Shield,,When I Shout/Testify,,,,,,,Down From His Glory
He's All I Need,He's Been Faithful,Holy Spirit Rain Down,I Thank You,I Started Living,Jesus Lifted Me,Hold To God's Unchanging Hand,I Am Determined To Hold Out,How Did You Feel?,,Worth,,,,,,,
He's Been Faithful,He's In This Place,Holy Righteous,I Will Bless The Lord,I Still Believe In The Church,Jesus Loves Me,I Am Determined To Hold Out,I Am Redeemed  By His Love,I Ain't Gonna Let Him Go,,Worthy Of It All,,,,,,,Eastern Gate
He's In This Place,He's The Only Reason I Live,Hunger,I Won't Go Back,I Was Glad When They Said Unto Me,Jesus On The Inside,I Am Redeemed  By His Love,I Don't Know What You Came To Do,I Came To Magnify,,You Have Made Me Glad,,,,,,,Eternity Eternity Where Will You Spend Eternity?
He's The Only Reason I Live,Here I Am Lord,I Am Blessed,I Worship You With All Of Me,I Woudn't Take Nothing For My Journey Now,Let All God's Children Praise The Lord,I Don't Know What You Came To Do,I feel like traveling on,I Choose To Be A Christian,,Your Great Name,,,,,,,Farther Along
Here I Am Lord,Here We Are,I Am Thine O Lord,I'll Say Yes Lord Yes,I'll Be Alright As Soon As I Touch Calvary,Let There Be Glory,I feel like traveling on,I Feel Like Something Good Is About To Happen,I Don't Mind,,,,,,,,,
Here We Are,His Eye Is On The Sparrow,I Don't Know Why,I'm Amazed,I'll Say Yes Lord Yes,Lift Your Praises To The Lord,I Feel Like Something Good Is About To Happen,I Feel The Joy Of The Lord,I Feel Like Praising Him,,,,,,,,,Fill Me Now
His Eye Is On The Sparrow,His Name Is Wonderful,I Don't Mind Waiting,I'm Loving You More Each Day,I'm A Soldier,Love Lifted Me,I Feel The Joy Of The Lord,I Have Found The Way,I Just Feel Like Something Good Is About To Happen,,,,,,,,,Fill My Cup Lord
His Name Is Wonderful,Holy Spirit Thou Art Wonderful,I Feel Like Going On,In God We Trust,I'm Coming Up The Rough Side Of The Mountain,Open Up The Windows Of Heaven,I Have Found The Way,I Know I'm Saved,I Feel The Spirit Moving,,,,,,,,,
Holy Spirit Thou Art Wonderful,How Great Thou Art,I Give Myself Away,In The Waiting,I'm Going Through,Revival In The Land,I Know I'm Saved,I Love Jesus Best Of All,I Get Joy When I Think About,,,,,,,,,Give Me A Clean Heart
How Great Thou Art,I Bless Your Name,I Have Made My Decision,Jesus At The Center,I'm Going Up Yonder,Sing For Joy,I Love Jesus Best Of All,I Love To Sing Unto The Lord,I Know God Is God,,,,,,,,,Give Up And Let Jesus Take Over
I Bless Your Name,I Can Feel Your Presence Lord,I Know The Lord Will Make A Way For Me,Jesus Will Outshine Them All,I'm Gonna Alive So,Stand In The Congregation,I Love To Sing Unto The Lord,I Love To Sing Your Praise,I Know It Was The Blood,,,,,,,,,God's Not Dead He's Still Alive
I Can Feel Your Presence Lord,I Can't Complain,I Need A Touch,Jesus I Love You,I'm Looking For A Miracle,Thank God For The Cross,I Love To Sing Your Praise,I Saw The Light,I Love To Praise Him,,,,,,,,,Got Any Rivers You Think Are Uncrossable?
I Can't Complain,I Can't Even Walk,I Need You More,Let Your Glory Fill This Place,I'm So Glad He Found Me,The Family Of God,I Saw The Light,I Shall Not Be Moved,I Put My Trust In You,,,,,,,,,Grace Grace God's Grace
